model,cv_mean,cv_std
Gradient Boosting,0.8145474244065793,0.019701132508796394
Random Forest,0.7950064020486556,0.024331524947267806
Logistic Regression,0.7906628582684921,0.028383802018759997
Decision Tree,0.7514133753570372,0.010234485464238987
